ID_Secteur;Secteur;Annee;Trimestre;Mois;Region;Nb_Creations;Evolution_Pct;Nb_Defaillances;Taux_Defaillance;Encours_Prets_MdsEUR;Croissance_Encours_Pct;Score_Risque;Col_Vide_1;Col_Vide_2;Col_Inutile
S02;Immobilier;2021;T1;2;Centre-Val de Loire;2955;14.7%;83;2.81%;30.98;5.6%;2.9;;;
S02;Immobilier;2021;T1;3;PACA;3045;-10.6%;86;2.82%;30.61;6.0%;2.4;;;
S02;IMMOBILIER;2021;T2;4;Île-de-France;2787;11.0%;65;2.33%;32.94;5.0 %;2.9;;;
S02;Immobiliers;2021;T2;5;Centre-Val de Loire;3476;-0,7%;83;2,39%;33.63;-4,5 %;2.8;;;
S02;Immobilier;2021;T2;6;Auvergne-Rhône-Alpes;3689;10.4%;73;1.98%;30.32;4.0%;2.7;;;
S02;Immobilier;2021;T3;7;Occitanie;2736;3.7%;77;2.81%;34.45;-0.7%;2.9;;;
S02;Immobilier;2021;T3;8;Nouvelle-Aquitaine;2754;6.1%;85;3.09%;34.66;4.8%;3.0;;;
S02;Immobilier;2021;T3;9;Occitanie;3145;9.8%;72;2.29%;35.58;-1.6%;2.6;;;
S02;Immobilier;2021;T4;10;PACA;3623;-13.0%;84;2.32%;30.37;-4.6%;3.1;;;
S02;immobilier;2021;T4;11;Bourgogne;3275;-5,1%;65;1,98%;32.64;3,3 %;3.1;;;
S02;Immobilier;2021;T4;12;Occitanie;2880;4.7%;68;2.36%;30.98;5.8%;2.7;;;
S02;Immobilier;2022;T1;1;Pays de la Loire;3774;14.2%;84;2.23%;36.09;3.0%;2.3;;;
S02;Immobilier;2022;T1;2;Centre-Val de Loire;2866;6.1%;70;2.44%;32.79;-5.9%;3.2;;;
S02;Immobilier;2022;T1;3;PACA;3452;14.2%;64;1.85%;33.57;-0.7%;2.7;;;
S02;Immobiliers;2022;T2;4;Pays de la Loire;3670;2,0%;64;1,74%;31.92;-3,8 %;2.9;;;
S02;Immobilier;2022;T2;5;Bretagne;3012;7.6%;65;2.16%;33.85;-2.0%;3.0;;;
S02;Immobilier;2022;T2;6;Occitanie;2921;14.5%;63;2.16%;31.98;7.2%;3.1;;;
S02;Immobilier;2022;T3;7;Pays de la Loire;3191;-2.1%;65;2.04%;33.71;-2.8%;2.9;;;
S02;Immobilier;2022;T3;8;Centre-Val de Loire;3588;-13.7%;62;1.73%;36.18;6.1%;2.9;;;
S02;Immobilier;2022;T3;9;Bourgogne;3076;-2.8%;88;2.86%;32.56;7.3%;2.8;;;
S02;Immobilier;2022;T4;10;Hauts-de-France;3573;-7.7%;78;2.18%;33.57;-0.5%;2.6;;;
S02;Immobilier;2022;T4;11;Pays de la Loire;2855;4.0%;76;2.66%;33.06;4.9%;2.6;;;
S02;Immobilier;2022;T4;12;Pays de la Loire;2820;-9.1%;78;2.77%;35.56;3.2%;2.4;;;
S02;Immobilier;2023;T1;1;Pays de la Loire;3795;-1.5%;86;2.27%;36.92;2.9%;2.9;;;
S02;Immobilier;2023;T1;2;Bretagne;3322;3.9%;83;2.5%;35.87;-1.1%;2.3;;;
S02;Immobilier;2023;T1;3;Bretagne;3593;-12.7%;85;2.37%;36.13;2.6%;2.8;;;
S02;Immobiliers;2023;T2;4;Normandie;3850;-13.8%;-200;2.23%;37.77;-3.4 %;2.9;;;
S02;immobilier;2023;T2;5;Centre-Val de Loire;3038;4,4%;63;2,07%;38.9;7,9 %;2.8;;;
S02;Immobilier;2023;T2;6;Grand Est;3703;-13.4%;79;2.13%;35.32;-1.4%;2.9;;;
S02;Immobilier;2023;T3;7;Hauts-de-France;3656;12.2%;85;2.32%;35.12;2.2%;2.4;;;
S02;Immobilier;2023;T3;8;Hauts-de-France;3636;-11.1%;81;2.23%;33.07;1.8%;3.0;;;
S02;IMMOBILIER;2023;T3;9;Hauts-de-France;3845;7,2%;80;2,08%;36.32;3,0 %;2.7;;;
S02;Immobilier;2023;T4;10;Normandie;3634;-9.2%;88;2.42%;32.44;-1.9%;3.1;;;
S02;Immobiliers;2023;T4;11;PACA;3981;-13.9%;-200;1.78%;38.73;-4.2 %;2.7;;;
S02;Immobilier;2023;T4;12;Occitanie;3128;-1.7%;69;2.21%;37.95;0.3%;2.8;;;
S02;Immobilier;2024;T1;1;Grand Est;4131;-9.2%;80;1.94%;38.45;0.2%;3.1;;;
S02;Immobilier;2024;T1;2;Hauts-de-France;3024;-9.0%;78;2.58%;38.7;-5.3%;2.8;;;
S02;Immobilier;2024;T1;3;PACA;3677;10.5%;69;1.88%;36.18;-2.2%;3.3;;;
S02;Immobilier;2024;T2;4;Hauts-de-France;3746;9.5%;85;2.27%;37.27;-0.2%;2.7;;;
S02;IMMOBILIER;2024;T2;5;PACA;3556;-14,2%;87;2,45%;41.66;3,1 %;3.1;;;
S02;Immobilier;2024;T2;6;Centre-Val de Loire;3600;12.2%;62;1.72%;34.21;-3.9%;3.3;;;
S02;Immobilier;2024;T3;7;Auvergne-Rhône-Alpes;3036;-6.0%;63;2.08%;33.86;5.1%;2.8;;;
S02;Immobilier;2024;T3;8;Hauts-de-France;3518;4.0%;77;2.19%;38.03;-1.9%;2.2;;;
S02;Immobilier;2024;T3;9;Normandie;3632;-12.4%;88;2.42%;32.89;1.4%;2.8;;;
S02;Immobilier;2024;T4;10;Hauts-de-France;3384;4.1%;88;2.6%;34.1;-5.8%;3.1;;;
S02;Immobiliers;2024;T4;11;Pays de la Loire;3055;2,5%;82;2,68%;34.52;-1,1 %;2.6;;;
S02;Immobilier;2024;T4;12;Île-de-France;3069;8.3%;74;2.41%;36.49;-5.4%;2.5;;;
S02;Immobilier;2025;T1;1;Île-de-France;3326;9.5%;74;2.22%;32.82;3.1%;2.6;;;
S02;Immobilier;2025;T1;2;PACA;3004;-4.0%;86;2.86%;38.09;6.5%;2.7;;;
S02;Immobilier;2025;T1;3;PACA;4100;0.6%;83;2.02%;39.1;-4.9%;2.9;;;
S02;Immobilier;2025;T2;4;Hauts-de-France;2944;4.8%;70;2.38%;36.99;-0.0%;3.0;;;
S02;Immobilier;2025;T2;5;Pays de la Loire;4247;3.4%;73;1.72%;39.97;5.1%;2.3;;;
S02;immobilier;2025;T2;6;Île-de-France;3853;5.4%;87;2.26%;33.91;2.5 %;3.1;;;
S02;Immobilier;2025;T3;7;PACA;3211;-10.4%;74;2.3%;39.3;0.2%;2.3;;;
S02;Immobiliers;2025;T3;8;Normandie;3689;-7,5%;-10;1,76%;38.48;1,0 %;2.7;;;
S02;Immobilier;2025;T3;9;Bretagne;3939;-0.3%;65;1.65%;38.56;0.3%;3.2;;;
S02;Immobilier;2025;T4;10;Occitanie;4381;14.6%;80;1.83%;41.09;1.7%;2.6;;;
S02;Immobilier;2025;T4;11;PACA;4257;4.1%;83;1.95%;38.86;-4.3%;2.5;;;
S02;Immobilier;2025;T4;12;Auvergne-Rhône-Alpes;3389;2.2%;74;2.18%;40.98;-4.2%;3.2;;;
S03;commerce;2019;T1;1;Pays de la Loire;13509;0,8%;-10;2,89%;24.02;-5,0 %;4.3;;;
S03;Commerce;2019;T1;2;PACA;11301;14.0%;348;3.08%;24.79;-5.2%;3.1;;;
S03;Commerce;2019;T1;3;Nouvelle-Aquitaine;14975;-8.2%;413;2.76%;23.45;-2.0%;3.0;;;
S03;Commerce;2019;T2;4;PACA;11087;-5,9%;361;3,26%;23.0;-3,6 %;4.2;;;
S03;commerce;2019;T2;5;Pays de la Loire;10959;4,2%;366;3,34%;24.2;4,7 %;3.5;;;
S03;Commerce;2019;T2;6;Nouvelle-Aquitaine;13469;-6.1%;303;2.25%;20.75;0.2%;3.6;;;
S03;Commerce;2019;T3;7;Normandie;14650;-5.4%;418;2.85%;22.65;-0.4%;4.0;;;
S03;Commerce;2019;T3;8;Centre-Val de Loire;12747;-7.0%;325;2.55%;21.34;-1.9%;3.4;;;
S03;Commerce;2019;T3;9;Normandie;14343;9.4%;411;2.87%;23.6;-3.3%;3.1;;;
S03;Commerces;2019;T4;10;Île-de-France;12592;-12,3%;343;2,72%;22.48;-2,6 %;3.7;;;
S03;Commerce;2019;T4;11;Île-de-France;11254;-11.0%;327;2.91%;22.87;-0.4%;2.9;;;
S03;Commerce;2019;T4;12;Pays de la Loire;13209;-12.8%;357;2.7%;24.56;-2.1%;4.3;;;
S03;Commerce;2020;T1;1;Centre-Val de Loire;11321;-3.8%;418;3.69%;24.02;-0.9%;3.1;;;
S03;COMMERCE;2020;T1;2;Normandie;11082;-10,9%;335;3,02%;23.63;0,4 %;3.8;;;
S03;Commerce;2020;T1;3;Bretagne;14796;2.8%;357;2.41%;23.8;0.9%;3.7;;;
S03;Commerce;2020;T2;4;Île-de-France;14010;14.4%;367;2.62%;25.16;4.2%;3.9;;;
S03;Commerce;2020;T2;5;Normandie;13925;14.2%;366;2.63%;22.46;-5.3%;3.6;;;
S03;Commerce;2020;T2;6;Île-de-France;14789;-10.6%;379;2.56%;21.52;7.3%;3.0;;;
S03;COMMERCE;2020;T3;7;Bourgogne;12794;-8.9%;357;2.79%;24.28;0.6 %;4.1;;;
S03;Commerce;2020;T3;8;Pays de la Loire;13099;-3.7%;414;3.16%;23.56;1.5%;3.7;;;
S03;Commerce;2020;T3;9;Nouvelle-Aquitaine;13868;5.8%;370;2.67%;22.29;-2.5%;3.7;;;
S03;Commerce;2020;T4;10;Bourgogne;14463;6.1%;380;2.63%;23.7;0.7%;3.7;;;
S03;commerce;2020;T4;11;Occitanie;14023;-3.6%;417;2.97%;25.26;7.4 %;4.0;;;
S03;Commerce;2020;T4;12;Auvergne-Rhône-Alpes;14352;-8.6%;398;2.77%;22.66;1.9%;3.3;;;
S03;Commerce;2021;T1;1;Bourgogne;12402;5.1%;360;2.9%;25.22;-5.3%;3.5;;;
S03;Commerce;2021;T1;2;Bretagne;11940;13.9%;417;3.49%;22.95;3.1%;4.1;;;
S03;Commerce;2021;T1;3;Normandie;15638;-5.4%;375;2.4%;26.15;-4.7%;3.7;;;
S03;Commerce;2021;T2;4;Grand Est;11530;12.6%;346;3.0%;26.47;7.1%;2.9;;;
S03;Commerce;2021;T2;5;Hauts-de-France;14611;11.2%;330;2.26%;21.93;-1.8%;3.7;;;
S03;Commerce;2021;T2;6;Auvergne-Rhône-Alpes;14066;-0.2%;412;2.93%;26.68;0.6%;3.2;;;
S03;Commerces;2021;T3;7;Nouvelle-Aquitaine;14436;6,6%;295;2,04%;23.88;-1,9 %;3.9;;;
S03;Commerce;2021;T3;8;Nouvelle-Aquitaine;14177;-9.5%;311;2.19%;23.22;-2.5%;3.3;;;
S03;COMMERCE;2021;T3;9;Pays de la Loire;12663;2,5%;366;2,89%;23.09;-1,0 %;3.2;;;
S03;Commerce;2021;T4;10;Centre-Val de Loire;15494;6.1%;333;2.15%;22.59;6.8%;3.3;;;
S03;Commerce;2021;T4;11;Normandie;13731;-1.4%;418;3.04%;24.27;3.8%;4.2;;;
S03;Commerce;2021;T4;12;Hauts-de-France;15040;5.4%;369;2.45%;26.2;1.4 %;3.6;;;
S03;Commerce;2022;T1;1;Bourgogne;12902;1.1%;314;2.43%;27.78;0.2%;3.9;;;
S03;Commerce;2022;T1;2;Bretagne;13610;9.3%;351;2.58%;24.46;0.4%;3.0;;;
S03;Commerce;2022;T1;3;Bourgogne;11462;-7.4%;294;2.56%;23.41;-5.0 %;3.5;;;
S03;Commerce;2022;T2;4;Hauts-de-France;12913;-9.6%;311;2.41%;25.83;4.2%;4.3;;;
S03;Commerce;2022;T2;5;Pays de la Loire;15677;12.2%;341;2.18%;25.86;3.3%;3.7;;;
S03;Commerce;2022;T2;6;Occitanie;15953;-3.2%;310;1.94%;26.79;5.7%;4.0;;;
S03;Commerce;2022;T3;7;Bourgogne;13843;-3.6%;322;2.33%;25.39;-3.8%;3.2;;;
S03;COMMERCE;2022;T3;8;Centre-Val de Loire;14261;3.4%;411;2.88%;26.18;-2.6 %;3.0;;;
S03;Commerce;2022;T3;9;Bourgogne;12587;-8.5%;402;3.19%;22.77;1.1%;3.3;;;
S03;Commerce;2022;T4;10;Grand Est;15428;9.6%;323;2.09%;27.23;7.8%;3.6;;;
S03;Commerce;2022;T4;11;Hauts-de-France;15670;11.4%;408;2.6%;24.95;-0.0%;3.6;;;
S03;Commerce;2022;T4;12;Bretagne;15603;-5.4%;346;2.22%;23.71;-0.7%;4.0;;;
S03;commerce;2023;T1;1;Normandie;15714;-10.7%;-10;2.24%;22.88;-0.2 %;3.5;;;
S03;Commerce;2023;T1;2;Centre-Val de Loire;13478;-3.9%;361;2.68%;26.31;-5.3%;3.4;;;
S03;Commerce;2023;T1;3;Hauts-de-France;13331;7.9%;385;2.89%;27.27;0.7%;4.1;;;
S03;Commerce;2023;T2;4;Bourgogne;13506;-9.3%;387;2.87%;28.39;4.6%;4.2;;;
S03;Commerce;2023;T2;5;Occitanie;15960;1.6%;391;2.45%;24.45;1.5%;3.4;;;
S03;Commerce;2023;T2;6;Hauts-de-France;14815;9.1%;385;2.6%;28.39;-1.5%;3.2;;;
S03;Commerces;2023;T3;7;PACA;13062;-10.6%;326;2.5%;28.33;2.1 %;3.5;;;
S03;Commerce;2023;T3;8;Bourgogne;14235;13.3%;336;2.36%;26.49;0.8%;3.9;;;
S03;Commerce;2023;T3;9;Pays de la Loire;15306;-9.9%;384;2.51%;24.88;6.8%;3.7;;;
S03;Commerce;2023;T4;10;Pays de la Loire;16152;-12.8%;397;2.46%;23.61;-5.9%;3.1;;;
S03;Commerce;2023;T4;11;Bretagne;12167;0.2%;341;2.8%;27.1;3.3%;3.8;;;
S03;Commerce;2023;T4;12;Normandie;13776;-2.7%;296;2.15%;25.6;1.5%;3.3;;;
S03;Commerce;2024;T1;1;Normandie;16789;12.3%;307;1.83%;25.06;-3.9%;3.2;;;
S03;Commerce;2024;T1;2;Occitanie;15984;-12.6%;414;2.59%;25.83;-2.6%;3.9;;;
S03;Commerce;2024;T1;3;Île-de-France;16361;10.7%;389;2.38%;25.65;-0.7%;3.7;;;
S03;Commerce;2024;T2;4;Normandie;12972;10.4%;375;2.89%;26.45;7.7%;4.3;;;
S03;Commerce;2024;T2;5;Occitanie;16226;5.8%;365;2.25%;24.4;6.9%;3.9;;;
S03;Commerce;2024;T2;6;Bourgogne;12459;12.9%;333;2.67%;29.32;2.2%;4.0;;;
S03;Commerce;2024;T3;7;Grand Est;14578;1.9%;365;2.5%;30.2;3.5%;3.7;;;
S03;Commerce;2024;T3;8;Auvergne-Rhône-Alpes;16441;6.7%;357;2.17%;27.63;-5.2%;3.5;;;
S03;Commerce;2024;T3;9;Bretagne;17817;-3.1%;391;2.19%;25.02;-2.2%;4.3;;;
S03;Commerce;2024;T4;10;Nouvelle-Aquitaine;14241;-9.4%;367;2.58%;26.16;4.8%;3.3;;;
